Group,Sub-group,Brand,Products,P/M,Logo,Comment,Updated,Barcode,Guideline-Product
Alcohol,Flavoured Alcoholic Drinks,Angostura,Caribbean Club Rum Punch Traditional,P,,Products must be ‘Product of Trinidad ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Angostura,Caribbean Club Rum Punch Passionfruit,P,,Products must be ‘Product of Trinidad ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Angostura,Caribbean Club Rum Punch Pineapple,P,,Products must be ‘Product of Trinidad ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Archers,Vea – Tropical,P,,Products must be ‘Product of Italy ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Archers,Veva - Rasberry,P,,Products must be ‘Product of Italy ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Archers,Vea – Apple,P,,Products must be ‘Product of Italy ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Archers,Schnapps & Lemonade,P,,Products must be ‘Product of Italy ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Archers,Aqua Schnapps – Exotic Passion,P,,Products must be ‘Product of Italy ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Archers,Aqua Schnapps – Peach,P,,Products must be ‘Product of Italy ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Archers,Aqua Schnapps – Rasberry,P,,Products must be ‘Product of Italy ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Archers,Aqua Schnapps – Cranberry,P,,Products must be ‘Product of Italy ’,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Bacardi,Breezer Range - NOT KOSHER,NK,,,1/1/2000,,Product
Alcohol,Flavoured Alcoholic Drinks,Pimm’s,Pimm’s & Lemonade,P,,,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Smirnoff,Vodka & Cola,P,,,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Smirnoff,Vodka & Apple,P,,,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Smirnoff,Vodka & Tonic,P,,,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Smirnoff,Ice Black,P,,,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,Smirnoff,Ice Red,P,,,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,WKD,Vodka Iron Brew,P,,,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,WKD,Vodka Blue,P,,,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,WKD,Vodka Red,P,,,NO DATE,,Product
Alcohol,Flavoured Alcoholic Drinks,WKD,Citrus Cut,P,,,NO DATE,,Product
Alcohol,Gin,Angos,Dry Gin,P,,,NO DATE,,Product
Alcohol,Gin,Beefeater,Gin,P,,,NO DATE,,Product
Alcohol,Gin,Bols,Silver Top Dry,P,,,NO DATE,,Product
Alcohol,Gin,BombaySapphire,Dry Gin – Must Not be product of South Africa,P,,,NO DATE,,Product
Alcohol,Gin,Gabriel Boudier,Saffron Gin,P,,,NO DATE,,Product
Alcohol,Gin,Gabriel Boudier,Sloe Gin,P,,,NO DATE,,Product
Alcohol,Gin,Gordon’s,Gin,P,,,NO DATE,,Product
Alcohol,Gin,Gordon’s,Sloe Gin,P,,,NO DATE,,Product
Alcohol,Grenadine,Bols,Grenadine,P,,,NO DATE,,Product
Alcohol,Liqueurs,Archers5,Peach Schnapps – Not Product of South Africa,P,,,NO DATE,,Product
Alcohol,Liqueurs,Benedictine,Dom – NOT KOSHER,NK,,,NO DATE,,Product
Alcohol,Liqueurs,Bokma,Goldstrike – Product of Holland,P,,,NO DATE,,Product
Alcohol,Liqueurs,Bols,Parfait Amour,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Melon,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Maraschino  - NOT KOSHER,NK,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Lindauer Apfel - NOT KOSHER,NK,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Passionfruit,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Lychee,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Kiwi,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Peach,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Peppermint White,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Kirsch – NOT KOSHER,NK,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Vieux,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Yoghurt,D,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Peppermint Green and Greem Foam,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Vanilla,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Red Orange,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Strawberry,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Raspberry,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Jenever Jong,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Green Bananas,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Blue and Blue Foam,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Genever,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Cassis Foam,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Cherry Brandy,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Coconut,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Butterscotch,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Advocaat,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Amaretto and Amaretto Foam,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Coffee,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Bitter Orange,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Creme De Cacao (brown),P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Elderflower,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Creme De Bananes,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Curacao Triple Sec,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Genever Zeer Oude,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Creme De Cassis,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Curacao Dry Orange,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Bols,Creme De Cacao (white),P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Chartreuse,NOT KOSHER,NK,,,NO DATE,,Product
Alcohol,Liqueurs,Cherry Boudier,NOT KOSHER,NK,,,NO DATE,,Product
Alcohol,Liqueurs,Chivas Brothers,Lochan Ora - NOT KOSHER,NK,,,NO DATE,,Product
Alcohol,Liqueurs,Cointreau,Cointreau – Must be Product of France,P,,,NO DATE,,Product
Alcohol,Liqueurs,Cooymans,Royal Dutch Advocaat – Must be Product of Holland,P,,,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Triple Sec,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Curacao Blue – NOT KOSHER,NK,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Melon,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Wild Strawberry,D,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Raspberry,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Sour Rhubarb,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Sour Apple,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Crème de Menthe Green,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Crème de Cassis,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Crème de Menthe White,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Crème de Cacao Brown,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Apricot Brandy – NOT KOSHER,NK,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Crème de Cacao White,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Butterscotch,D,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Blackberry – NOT KOSHER,NK,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Crème de Bananes,P,,Products must be “Product of Holland ”,NO DATE,,Product
