Group,Sub-group,Brand,Products,P/M,Logo,Comment,Updated,Barcode,Guideline-Product
Baking Ingredients,Food Colourings,Wiltons (USA),"must have hechsher – Millys Kitchen Shop, Akld",P,,,NO DATE,,Product
Baking Ingredients,Glucose,,,No Value,,All brands of Glucose Powder & Syrup are acceptable. Bulk Purchases require an approved hechsher.,NO DATE,,Guideline
Baking Ingredients,Gluten,,,No Value,,All brands are acceptable.  See Gluten Free Section for products.,NO DATE,,Guideline
Baking Ingredients,Golden Syrup & Treacle,,,No Value,,All  brands are acceptable.,NO DATE,,Guideline
Baking Ingredients,"Icing Sugar, Icings",,,No Value,,All brands of pure icing sugar (NO additives) are acceptable.,NO DATE,,Guideline
Baking Ingredients,"Icing Sugar, Icings",,,No Value,,"All Icing Sugar Mixture is kosher provided ONLY Sugar, Corn Starch, Maize Starch, Wheat Starch or Tapioca Starch are the only ingredients.",NO DATE,,Guideline
Baking Ingredients,"Icing Sugar, Icings",Bakels (NZ),Pettinice Ready to Roll Icing (Fondant) White C hocolate Ivory B lack B lue G reen O range P ink P urple R ed Y ellow,P,KKLA,,NO DATE,,Product
Baking Ingredients,"Icing Sugar, Icings",Betty Crocker (USA),READY TO SPREAD ICINGS -,P,,,NO DATE,,Product
Baking Ingredients,"Icing Sugar, Icings",Betty Crocker (USA),"Creamy De Luxe, Vanilla, Dark, Dutch Fudge, Milk Chocolate Party Frosting",D,OU,,NO DATE,,Product
Baking Ingredients,Lecithin,,,No Value,,NOT ACCEPTABLE unless bearing reliable hechsher.,NO DATE,,Guideline
Baking Ingredients,Mineral Water,,,No Value,,"Some Kosher certified bottled waters below. However, all plain, unflavoured mineral & spring waters are acceptable.",NO DATE,,Guideline
Baking Ingredients,Mineral Water,Eternal WaterNZ,Spring Water,P,KKLA,,NO DATE,,Product
Baking Ingredients,Mineral Water,NZ Premium,Premium Eternal Spring,P,OU,,NO DATE,,Product
Baking Ingredients,Nuts,,,No Value,,"All unprocessed nuts with no oils, additives or preservatives are Kosher.  Sliced, Slivered, Ground is acceptable.",NO DATE,,Guideline
Baking Ingredients,Polenta,,,No Value,,All brands of unprocessed Polenta are pareve and acceptable.,NO DATE,,Guideline
Baking Ingredients,Soft Drinks,Red Bull (Austria),"Blue, Red & Silver Edition in cans & bottles ‘ Made in Austria’ ONLY.",P,NKA,,NO DATE,,Product
Baking Ingredients,Soft Drinks,Red Bull (Austria),Energy Drink & Sugar Free energy Drink in cans & bottles ‘ Made in Austria or Swizerland ’ ONLY.,P,NKA,,NO DATE,,Product
Baking Ingredients,Soft Drinks,Sparletta(S Africa),Cream Soda / Iron Brew – Countdown,P,J,,NO DATE,,Product
Baking Ingredients,Sugar,,,No Value,,The following sugars are certified:,NO DATE,,Guideline
Baking Ingredients,Sugar,Brown  Sugar,All retail brands of Brown Sugar .,P,NKA,,NO DATE,,Product
Baking Ingredients,Sugar,Caster Sugar,All retail brands of Caster Sugar .,P,NKA,,NO DATE,,Product
Baking Ingredients,Sugar,Chelsea (NZ),White Sugar Dark Cane Sugar Soft Brown Sugar Icing Sugar Caster Sugar Coffee Sugar Golden Syrup Molasses Treacle,P,KKLA,,NO DATE,,Product
Baking Ingredients,Sugar,CoffeeSugar,All retail brands of Coffee Sugar .,P,NKA,,NO DATE,,Product
Baking Ingredients,Sugar,Icing Sugar,All brands of Icing Sugar are acceptable.,P,NKA,,NO DATE,,Product
Baking Ingredients,Sugar,Icing Sugar Mixture,"All Icing Sugar Mixture is kosher provided ONLY Sugar, Corn Starch, Maize Starch, Wheat Starch or Tapioca Starch are the only ingredients.",P,NKA,,NO DATE,,Product
Baking Ingredients,Sugar,Palm Sugar,“Product of Malaysia ” ONLY,P,NKA,,NO DATE,,Product
Baking Ingredients,Sugar,Raw Sugar,All retail brands of Raw Sugar .,P,NKA,,NO DATE,,Product
Baking Ingredients,Sugar,SugarCubes,All retail brands of Sugar Cubes .,P,NKA,,NO DATE,,Product
Baking Ingredients,Sugar,White Sugar,All retail brands of White Sugar .,P,NKA,,NO DATE,,Product
Baking Ingredients,Syrups,Shotts (NZ),COFFEE SYPRUP RANGE Caramel Flavoured Syup Chai Latte Flavoured Syrup Classic Chai Latte Flavoured Syrup Hazelnut Flavoured Syrup Vanilla Flavoured Syrup White Chocolate Flavoured Syrup,P,KKLA,,NO DATE,,Product
Baking Ingredients,Syrups,Shotts (NZ),SMOOTHIE RANGE Berry Smoothie Chocolate Smoothie Feijoa Smoothie Iced Coffee Smoothie Passionfruit Smoothie,P,KKLA,,NO DATE,,Product
Baking Ingredients,Syrups,Shotts (NZ),FRUIT SYRUP RANGE Honey Blackcurrant Fruit Syrup Passionfruit Fruit Syrup Tahitian Lime Fruit Syrup,P,KKLA,,NO DATE,,Product
Baking Ingredients,Syrups,Shotts (NZ),FAIR TRADE RANGE Caramel Flavoured Syup Chai Latte Flavoured Syrup Classic Chai Latte Flavoured Syrup Hazelnut Flavoured Syrup Vanilla Flavoured Syrup White Chocolate Flavoured Syrup,P,KKLA,,NO DATE,,Product
Baking Ingredients,Syrups,Shotts (NZ),The following are DAIRY: Lemon Ginger Honey Fruit Syrup,D,KKLA,,NO DATE,,Product
Baking Ingredients,Tapioca,,,No Value,,All brands of pure Tapioca are acceptable.,NO DATE,,Guideline
Baking Ingredients,Tartaric Acid,,,No Value,,All brands are acceptable according to most Halachic opinions & are accepted by the KA as mehadrin.,NO DATE,,Guideline
Baking Ingredients,Teas / Teabags / Herbal Teas,Celestial Seasonings (USA),Herbal – ONLY when bearing “Star K” Hechsher,P,SK,,NO DATE,,Product
Baking Ingredients,Teas / Teabags / Herbal Teas,Celestial Seasonings (USA),Herbal – ONLY when bearing “ Torah K ” hechsher,D,,,NO DATE,,Product
Baking Ingredients,Teas / Teabags / Herbal Teas,Celestial Seasonings (USA),Tea Leaves – ONLY when bearing “Star K” hechsher,D,SK,,NO DATE,,Product
Baking Ingredients,Teas / Teabags / Herbal Teas,Dilmah,A large variety of Teas. M ust have hechsher .,D,OU,,NO DATE,,Product
Baking Ingredients,Teas / Teabags / Herbal Teas,Hampstead,"A large variety of Herbal Teas. m ust have hechsher . - At Ceres, Ellerslie.",D,,,NO DATE,,Product
Baking Ingredients,Teas / Teabags / Herbal Teas,Traditional Medicines,"A large variety of Herbal Teas. m ust have hechsher . - At Ceres, Ellerslie.",D,,,NO DATE,,Product
Baking Ingredients,Teas / Teabags / Herbal Teas,Twinnings,Herbal & Flavoured Teas,P,NKA,,NO DATE,,Product
Baking Ingredients,Teas / Teabags / Herbal Teas,Twinnings,Plain Tea incl . Earl Grey,P,NKA,,NO DATE,,Product
Baking Ingredients,Teas / Teabags / Herbal Teas,Yogi Wellness Tea,"A large variety of Herbal Teas. m ust have hechsher. - At Ceres, Ellerslie",P,,,NO DATE,,Product
Baking Ingredients,Treacle,,,No Value,,All brands are acceptable.,NO DATE,,Guideline
Baking Ingredients,Vanilla,,,No Value,,Must be Kosher Certified.,NO DATE,,Guideline
Baking Ingredients,Vanilla,Heilala (NZ),Vanilla Beans Ground Vanilla Beans,P,KKLA,,1/1/2000,,Product
Baking Ingredients,Vanilla,Heilala (NZ),Vanilla Extract Vanilla Sugar Vanilla Paste,D,KKLA,,NO DATE,,Product
Baking Ingredients,Vanilla,Moirs(S Africa),Vanilla Essence – no hechsher – At Countdown,P,J,,NO DATE,,Product
Baking Ingredients,Vanilla,Neilson-Massey (USA),Pure Vanilla Extract - at speciality Delis & Cook Shops,P,CRC,,NO DATE,,Product
Baking Ingredients,Vanilla,Queen Fine Foods (Aust),Organic Vanilla Bean Paste,P,NKA,Available at Countdown,NO DATE,,Product
Baking Ingredients,Vanilla,Queen Fine Foods (Aust),Natural Vanilla / Vanilla Extract / Imitation Vanilla,P,NKA,Available at Countdown,NO DATE,,Product
Cereals,,Abundant Earth (Aust),Puffed Millet,P,NKA,,NO DATE,,Product
Cereals,,Abundant Earth (Aust),Puffed Organic Kamut,P,NKA,,NO DATE,,Product
Cereals,,Abundant Earth (Aust),Puffed Organic Brown Rice,P,NKA,,NO DATE,,Product
Cereals,,Abundant Earth (Aust),Puffed Organic Corn,P,NKA,,NO DATE,,Product
Cereals,,Abundant Earth (Aust),Puffed Corn,P,NKA,,NO DATE,,Product
Cereals,,Abundant Earth (Aust),Puffed Organic Millet,P,NKA,,NO DATE,,Product
Cereals,,Abundant Earth (Aust),Puffed Rice,P,NKA,,NO DATE,,Product
Cereals,,Abundant Earth(USA),Organic Start Raisin Bran Flakes,D,KK,,NO DATE,,Product
Cereals,,Abundant Earth(USA),Organic Start Fibre – 7 Flakes,D,KK,,NO DATE,,Product
Cereals,,Abundant Earth(USA),Organic Start Golden Flax Flakes,D,KK,,NO DATE,,Product
Cereals,,Arrowhead Mill,A variety available at Huckleberry.,P,OK,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Pro Nutro Chocolate Cereal,D,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Nature’s Source - Toasted Nut Crunch,P,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Swiss Muesli,P,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Nature’s Source - Tropical Cluster,P,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Nature’s Source - Strawberry & Yoghurt Cereal,D,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Muesli Crunch,P,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Nutzy Crunch,P,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Crispy Crunch,P,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Pro Nutro Banana,D,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Nature’s Source – Light ‘ n Crispy,D,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Pro Nutro Strawberry,D,J,,NO DATE,,Product
Cereals,,Bokomo(S Africa),Pro Nutro Original,D,J,,NO DATE,,Product
Cereals,,Brookfarm  (Aust),Macadamia Muesli – Gluten Free - Toasted - Natural,P,KA,"A t NW, Huckleberry & Nosh - must have hechsher.",NO DATE,,Product
Cereals,,Brookfarm  (Aust….,Macadamia Cranberry Muesli - Gluten Free - Toasted – Natural,P,KA,,NO DATE,,Product
Cereals,,Brookfarm  (Aust….,Muesli with Cranberries – Toasted,P,KA,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Organic Instant Hot Cereal,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Frosted Flakes,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Flax n’ Oats,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Ginger Zing Crunchy,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Environkidz Organic - Amazon Frosted Flakes - Koala Crisp Cereal - Gorilla Munch - Leapin Lemurs - Panda Puffs,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Crispy Rice,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Cornflakes - Fruit Juice Sweetened,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Heritage O’s,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Honeyed Cornflakes,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Multigrain Flakes,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Instant Hot Oatmeal Optimum Zen,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Apple Cinnamon Hot Cereal Pouch,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Millet Rice Oatbran Flakes Cereal,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Hot Cereal Pouches - Apple Cinnamon - Maple Nut - Cinnamon Blueberry - Cranberry Ginger,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Millet Rice Flakes,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Koala Crisp,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Mesa Sunrise,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Instant Hot Oatmeal Apple Cinnamon,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Acai Apple Granola,P,VHW,,NO DATE,,Product
Cereals,,Can’t find Western Kosehr site,Blueberry Almond Muesli,P,VHW,,NO DATE,,Product
Cereals,,Casalare (Aust),Quinoa Grain,P,KA,,NO DATE,,Product
Cereals,,Casalare (Aust),Soft Oat Grouts,P,KA,,NO DATE,,Product
Cereals,,Earth’s Best,A range of cereals at Huckleberry.,P,OU,,NO DATE,,Product
Cereals,,Erewhon,A variety available at Huckleberry.,P,OU,,NO DATE,,Product
Cereals,,Jungle(S Africa),Ta stee Wheat Hot Cereal,P,J,,NO DATE,,Product
Cereals,,Kelloggs (Aust),All Bran Tropical,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),All Bran Wheat Flakes,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),All Bran Original,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Special K,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Rice Bubbles,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Coco Pops,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Coco Pops - Coco Rocks,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Coco Pops - Chex,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),All Bran Wheat Flakes Honey Almond,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Crispix - honey,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Mini Wheats 5 Grains,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Nutrigrain,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Sultana Bran,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Guardian,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Crunchy Nut Cornflakes,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Frosties,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Special K Forest Berries,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Kelloggs (Aust),Cornflakes,P,KA,Products listed below must be ‘Made in Australia ’. Only products listed are acceptable .,NO DATE,,Product
Cereals,,Nabisco,A variety of cereals available. must have hechsher.,P,OU,,NO DATE,,Product
Cereals,,Nature’s Path,Many varieties available. must have hechsher .,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Puffed Corn / Puffed Kamut / Puffed Millet / Puffed Rice,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Oat Bran Flakes,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Smart Bran,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Whole Grain Crispy Rice,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Spelt Flakes,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Oaty Bites,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Orangutan-O’s,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Optimum – Cinnamon Blueberry,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Optimum – Cranberry & Ginger,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Optimum Power Breakfast,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Pomegranate Plus Granola,P,VHW,,NO DATE,,Product
Cereals,,Nature’s Path…,Organic Crispy Rice,P,VHW,,NO DATE,,Product
Cereals,,Nestle (Aust),Nesquik – Must Say ‘Product of Australia’,P/DV,NKA,,NO DATE,,Product
Cereals,,New Morning,A variety available at Huckleberry.,P,OU,,NO DATE,,Product
Cereals,,Orgran (Aust),Rice O’s Wild Berry Flavour,P,KA,,NO DATE,,Product
Cereals,,Orgran (Aust),Rice O’s Wild Berry Flavour - Gluten Free.,P,KA,,NO DATE,,Product
Cereals,,Orgran (Aust),Itsy Bitsy Cocoa O’s,P,KA,,NO DATE,,Product
Cereals,,Orgran (Aust),Rice Porridge with Apricots,P,KA,,NO DATE,,Product
Cereals,,Orgran (Aust),Must have hechsher,P,,,NO DATE,,Product
Cereals,,Orgran (Aust),Amaranth Puffed Breakfast Cereal,P,KA,,NO DATE,,Product
Cereals,,Post (Canada),Grape Nuts,P,T,,NO DATE,,Product
Cereals,,Sanitarium (Aust),Lite Bix (Aust),P,KA,,NO DATE,,Product
Cereals,,Sanitarium (Aust),Kids Weet Bix,P,KA,,NO DATE,,Product
Cereals,,Sanitarium (Aust),Puffed Wheat (Aust),P,KA,,NO DATE,,Product
Cereals,,Sanitarium (Aust),Weet Bix (Aust),P,KA,,NO DATE,,Product
Cereals,,Sanitarium (Aust),Weet Bix Crunchy Honey Bites (Aust),P,KA,,NO DATE,,Product
Cereals,,Sanitarium (Aust),Weet Bix Wildberry Bites (Aust),P,KA,,NO DATE,,Product
Cereals,,Sanitarium (Aust),Weet Bix Hi-Bran (Aust),P,KA,,NO DATE,,Product
Cereals,,Sanitarium (Aust),Honey Weets (Aust),P,KA,,NO DATE,,Product
Cereals,,Sanitarium (Aust),Cornflakes (Aust),P,KA,,NO DATE,,Product
Cereals,,Sanitarium (Aust),Skippy Cornflakes (Aust),P,KA,,NO DATE,,Product
Cereals,,Sanitarium (NZ),Weet B ix Oat Bran,P/DV,,,NO DATE,,Product
Cereals,,Sanitarium (NZ),Puffed Wheat,P,,,NO DATE,,Product
Cereals,,Sanitarium (NZ),Honey Puffs,P/DV,,,NO DATE,,Product
Cereals,,Sanitarium (NZ),Weeties,P/DV,,,NO DATE,,Product
Cereals,,Sanitarium (NZ),Ricies,P,,,NO DATE,,Product
Cereals,,Sanitarium (NZ),Bran Flakes,P/DV,,,NO DATE,,Product
Cereals,,Sanitarium (NZ),San Bran,P/DV,,,NO DATE,,Product
Cereals,,Sanitarium (NZ),Weet Bix,P/DV,,,NO DATE,,Product
Cereals,,Sanitarium (NZ),Wee t B ix Hi Bran,P/DV,,,NO DATE,,Product
Cereals,,Sanitarium (NZ),Skippy Cornflakes,P,,,NO DATE,,Product
Cereals,,Uncle Toby’s (Aust),Vita Brits,P,KA,,NO DATE,,Product
Cereals,,Uncle Toby’s (Aust),Vita Brits Organic,P,KA,,NO DATE,,Product
Cereals,,Uncle Toby’s (Aust),Weeties,P,KA,,NO DATE,,Product
Cereals,,Uncle Toby’s (Aust),Shredded Wheat – Must say “Products of Canada”,P,KA,,NO DATE,,Product
Cereals,,Uncle Toby’s (Aust),Oats – Quick Sachets,P,KA,,NO DATE,,Product
Cereals,,Uncle Toby’s (Aust),Oat Brits,P,KA,,NO DATE,,Product
Cereals,,Uncle Toby’s (Aust),Oats Quick,P,KA,,NO DATE,,Product
Cereals,,Uncle Toby’s (Aust),Oats - Traditional,P,KA,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Bluebird (NZ),Doritas – Corn Chips - Original Salted Only,P,,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Fritos(S Africa),Tomato Corn Chips 50g,P,J,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Fritos(S Africa),BBQ Corn Chips 50g,P,J,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Garden of Eatin (USA),Chilli & Lime Cantina Chips,D,KK,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Garden of Eatin (USA),Mini Yellow Rounds Tortilla Chips,P,KK,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Garden of Eatin (USA),Sesame Blues Tortilla Chips,P,KK,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Garden of Eatin (USA),Red Hot Blues Tortilla Chips,P,KK,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Garden of Eatin (USA),White Corn Chips,P,KK,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Garden of Eatin (USA),Mini White Strips Tortilla Chips,P,KK,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Garden of Eatin (USA),Blue Corn Tortilla Chips,P,KK,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Garden of Eatin (USA),Mini Corn Tortilla Chips,P,KK,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Garden of Eatin (USA),Yellow Corn Taco Chips,P,KK,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Mrs Balls(S Africa),Simba Sth Africa Chutney Chips – at Countdown,P,J,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Osem(Israel),Bamba Snacks,P,Bdtz,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Osem(Israel),BBQ Flavour,P,Bdtz,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Osem(Israel),variety of flavours,P,Bdtz,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Osem(Israel),Pizza Flavour,P,Bdtz,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Corn Chips,Uncle Toby’s (Aust),NOT KOSHER –  Supermarket Bulk Bin supplies.,NK,,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Croutons,Dare (Canada),Garlic Croutons,P,OU,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Croutons,Dare (Canada),Caesar Croutons,D,OU,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Croutons,Dare (Canada),Plain Croutons,P,OU,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Croutons,Osem,Mini Croutons,P,OU,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Dips,,,No Value,,Assorted Kosher Dips available at Greys Ave Deli & Wgtn Kosher Co-Op.,NO DATE,,Guideline
"Chips,  Snacks, Nuts & Dips",Dips,,,No Value,,Use ONLY Dips listed or bearing a reputable Kosher Hechsher.,NO DATE,,Guideline
"Chips,  Snacks, Nuts & Dips",Popcorn,Act II (USA),Many Flavours  available – check for OU D hechsher,D,OU,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Popcorn,Jolly Time (USA),Many Flavours  available – check for OK D hechsher,D,OK,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Potato Chips,Bluebird (NZ),Supercut – Plain ONLY,P,,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Potato Chips,Bluebird (NZ),Thin Cut Potato Chips– Plain ONLY,P,,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Potato Chips,Bluebird (NZ),Thick Cut Ready Salted– Plain ONLY,P,,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Potato Chips,Bluebird (NZ),Ready Salted Original Cut Chips – Plain ONLY,P,,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Potato Chips,Bluebird (NZ),Delisio Potato Chips– Sea Salt ONLY,P,,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Potato Chips,Bluebird (NZ),Light Plus – Sea Salt ONLY,P,,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Potato Chips,Bluebird (NZ),Local Harvest Traditional Crinkle Cut – Plain Salted ONLY,P,,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Potato Chips,Bluebird (NZ),Copper Kettle – Sea Salt ONLY,P,,,NO DATE,,Product
"Chips,  Snacks, Nuts & Dips",Potato Chips,Bluebird (NZ),ONLY THE FOLLOWING PRODUCTS ARE APPROVED -,No Value,,,12/1/2000,,Product
"Chips,  Snacks, Nuts & Dips",Potato Chips,Bluebird (NZ),Doritos – Ready Salted – Plain ONLY,P,,,NO DATE,,Product
Cleaners & Detergents,,,,No Value,,"The majority of detergents, disinfectants, scale removers & other synthetic cleaners, are totally inedible & thus present no Kashrut problems. ",NO DATE,,Guideline
Confectionery,Chewy / Health Bars,Annie’s (NZ),Vege Bar,P,KKLA,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Annie’s (NZ),Wiggles,P,KKLA,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Annie’s (NZ),Fibrefruit,P,KKLA,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Annie’s (NZ),ALL FRUIT BARS - all flavours,P,KKLA,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Annie’s (NZ),ALL FRUIT ROLLS - all flavours,P,KKLA,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Artisse Organic Bars (Canada),A range available – gluten free - at Huckleberry - Almond Nougat - Café Latte - Choc Almond Nougat,P,T,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Be Natural Snacks (Aust),Nut Delight,D,L,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Be Natural Snacks (Aust),Macadamia Honey,P,L,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Be Natural Snacks (Aust),Macadamia Apricot,P,L,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Be Natural Snacks (Aust),Fruit & Nut,P,L,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Be Natural Snacks (Aust),Sunflower & Pepita,P,L,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Be Natural Snacks (Aust),Almond & Apricot,P,L,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Florida’s Natural,Nuggets – Blueberry Flavour,P,OK,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Florida’s Natural,Tanglez – Strawberry Flavour,P,OK,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Florida’s Natural,Nuggets – Strawberry Flavour,P,OK,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Florida’s Natural,Tanglez – Blueberry Flavour,P,OK,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Leda (Aust),A variety of Bars & Cookies – must have hechsher .,P,KA,,NO DATE,,Product
Confectionery,Chewy / Health Bars,Mrs May’s,All Natural Pumpkin Crunch,P,KSA,A variety available at Huckleberry - must have hechsher,NO DATE,,Product
Confectionery,Chewy / Health Bars,Mrs May’s,All Natural Cranberry Crunch,P,KSA,A variety available at Huckleberry - must have hechsher,NO DATE,,Product
Confectionery,Chewy / Health Bars,Mrs May’s,All Natural Sunflower Crunch,P,KSA,A variety available at Huckleberry - must have hechsher,NO DATE,,Product
Confectionery,Chewy / Health Bars,Mrs May’s,All Natural Almond Crunch,P,KSA,A variety available at Huckleberry - must have hechsher,NO DATE,,Product
